source,target
to-do,BOTS
zapier,BOTS
polly,BOTS
jira-cloud,BOTS
hubot,BOTS
busybot,BOTS
meekan,BOTS
geekbot,BOTS
birthdaybot,BOTS
statsbot,BOTS
heytaco,BOTS
howdy,BOTS
mailclark,BOTS
memo,BOTS
growthbot,BOTS
growbot,BOTS
paperbot,BOTS
lunchtrain,BOTS
astrobot,BOTS
donut,BOTS
@must-read,BOTS
attendancebot,BOTS
workstreams,BOTS
hbr,BOTS
appfollow,BOTS
gamemonk,BOTS
expensetron,BOTS
forecast,BOTS
officeamp,BOTS
cloze,BOTS
stopbreathandthink,BOTS
meetingbot,BOTS
jira-integration+,BOTS
envoy,BOTS
nikabot,BOTS
workbot,BOTS
reveal,BOTS
jell,BOTS
conclude,BOTS
surveymonkey,BOTS
emojibot,BOTS
nikkei,BOTS
ace,BOTS
guru,BOTS
coinbot,BOTS
timebot,BOTS
niles,BOTS
pombo,BOTS
lighthouse,BOTS
a-cloud-guru-bot,A Cloud Guru Bot
solid,BOTS
spacetime,BOTS
yala,BOTS
swingmail,BOTS
proofme,BOTS
standupbot,BOTS
butter.ai,BOTS
zoom.ai,BOTS
lunchbob,BOTS
hp-print-bot,BOTS
standupjack,BOTS
sportbot,BOTS
digest.ai,BOTS
dbot,BOTS
integromat,BOTS
cexy,BOTS
glance,BOTS
arlie,BOTS
lurchr,BOTS
syncmusicbot,BOTS
talla,BOTS
any.do,BOTS
tatsu,BOTS
decisionbot,BOTS
ico-watchdog,BOTS
market,BOTS
neko,BOTS
reviewbot,BOTS
soapbox,BOTS
zenefits,BOTS
anonymous-bot,BOTS
vsts-bot,BOTS
duuoo,BOTS
flexbot,BOTS
metacert,BOTS
atomist,BOTS
cryptocheck,BOTS
push-for-slack,BOTS
training-by-talla,BOTS
dailyupdates,BOTS
yellowant,BOTS
freework,BOTS
anamakbot,BOTS
pegg,BOTS
agora,BOTS
scorebot,BOTS
a;,BOTS
marbot,BOTS
your.md,BOTS
hiohmy,BOTS
sudo,BOTS
ssh-client-bot,BOTS
healthybot,BOTS
janitr,BOTS
lunchbot,BOTS
beepboop,BOTS
findo,BOTS
pushmetrics,BOTS
koyfin,BOTS
engazify,BOTS
gratify,BOTS
runbot,BOTS
fireflies.ai,BOTS
alertsy,BOTS
words,BOTS
abot,BOTS
revere,BOTS
autocompete,BOTS
plato,BOTS
ringcentral,BOTS
slinky,BOTS
